date,Oracle,MySQL,SQLServer,PostgreSQL,MongoDB,kanye,taylor swift,olympics
2021-07-18 08:00:00,29,18,0,4,40,0,0,3
2021-07-18 09:00:00,27,18,0,4,14,0,0,2
2021-07-18 10:00:00,26,17,0,3,6,0,0,2
2021-07-18 11:00:00,25,16,0,4,6,0,0,3
2021-07-18 12:00:00,24,15,0,3,5,0,0,3
2021-07-18 13:00:00,23,16,0,4,4,0,0,3
2021-07-18 14:00:00,27,16,0,4,4,0,0,3
2021-07-18 15:00:00,26,15,0,4,4,0,1,3
2021-07-18 16:00:00,25,15,0,3,4,0,1,3
2021-07-18 17:00:00,23,14,0,3,4,0,1,4
2021-07-18 18:00:00,23,14,0,3,4,0,1,4
2021-07-18 19:00:00,23,13,0,4,4,0,1,4
2021-07-18 20:00:00,25,13,0,3,5,1,1,4
2021-07-18 21:00:00,23,11,0,5,3,1,1,4
2021-07-18 22:00:00,27,11,1,3,3,1,1,5
2021-07-18 23:00:00,29,13,1,4,3,1,1,5
2021-07-19 00:00:00,38,18,4,6,4,1,1,5
2021-07-19 01:00:00,43,28,4,9,5,1,1,5
2021-07-19 02:00:00,48,35,6,10,6,1,1,5
2021-07-19 03:00:00,44,35,3,8,8,1,1,5
2021-07-19 04:00:00,60,34,5,11,8,1,1,4
2021-07-19 05:00:00,74,41,5,13,9,1,1,3
2021-07-19 06:00:00,89,46,5,16,27,1,0,3
2021-07-19 07:00:00,94,54,5,17,30,0,0,3
2021-07-19 08:00:00,91,51,5,17,25,0,0,3
2021-07-19 09:00:00,89,48,4,16,13,0,0,3
2021-07-19 10:00:00,77,37,2,13,12,0,0,3
2021-07-19 11:00:00,73,33,2,12,10,0,0,3
2021-07-19 12:00:00,71,34,2,12,10,0,0,4
2021-07-19 13:00:00,74,31,1,12,10,0,0,4
2021-07-19 14:00:00,73,30,1,11,9,0,0,4
2021-07-19 15:00:00,69,26,1,10,9,1,0,4
2021-07-19 16:00:00,60,25,1,9,7,1,0,4
2021-07-19 17:00:00,58,22,1,6,8,1,0,4
2021-07-19 18:00:00,56,22,1,7,9,1,1,4
2021-07-19 19:00:00,55,22,1,7,8,1,1,4
2021-07-19 20:00:00,54,21,1,6,6,1,1,5
2021-07-19 21:00:00,63,20,1,6,5,1,1,5
2021-07-19 22:00:00,41,19,1,5,5,2,1,6
2021-07-19 23:00:00,40,19,2,7,5,1,1,6
2021-07-20 00:00:00,45,22,4,8,5,1,1,6
2021-07-20 01:00:00,51,31,5,9,6,1,1,7
2021-07-20 02:00:00,54,37,6,11,7,1,1,6
2021-07-20 03:00:00,51,34,3,8,27,1,1,6
2021-07-20 04:00:00,70,34,5,11,10,1,1,5
2021-07-20 05:00:00,81,38,5,13,42,1,1,4
2021-07-20 06:00:00,90,48,5,16,13,1,0,3
2021-07-20 07:00:00,100,54,5,18,13,1,0,3
2021-07-20 08:00:00,97,56,5,18,13,0,0,4
2021-07-20 09:00:00,86,53,4,16,12,0,0,3
2021-07-20 10:00:00,75,36,3,13,12,0,0,3
2021-07-20 11:00:00,73,33,2,11,9,0,0,4
2021-07-20 12:00:00,75,34,2,12,10,1,0,4
2021-07-20 13:00:00,77,40,1,12,10,1,0,4
2021-07-20 14:00:00,76,31,2,11,9,1,0,4
2021-07-20 15:00:00,68,26,1,10,9,1,0,4
2021-07-20 16:00:00,63,24,1,8,7,1,0,4
2021-07-20 17:00:00,57,23,1,9,10,1,0,5
2021-07-20 18:00:00,61,22,2,7,6,1,0,4
2021-07-20 19:00:00,57,24,1,6,7,1,1,4
2021-07-20 20:00:00,51,20,1,7,10,1,1,5
2021-07-20 21:00:00,44,19,1,6,9,1,1,6
